Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1.2.7	    PART 7 & 8		2	SUSPENSION BRACKET											\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	PART 7 & 8	Default											
1.2.7.1	      		1	Sheet	Material <not specified>												Default		67.89							3.5		
1.2.7.2	      		1	Sheet	Material <not specified>												Default		84.61							3.5		
1.2.8	    PART 11		2	SPRING											\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	PART 11	Default											
1.2.9	    PART 9 11 30 31		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	PART 9 11 30 31	Default											
1.2.10	    MirrorPART 9 11 30 31		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	MirrorPART 9 11 30 31	Default											
1.2.11	    PART 6		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	PART 6	Default											
1.2.11.1	      		1	Sheet	Material <not specified>												Default		146.08							3		
1.2.11.2	      		1		Material <not specified>												Default											
1.2.12	    PART 16		2												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	PART 16	Default											
1.2.13	    AXELS		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	AXELS	Default											
1.2.14	    HBOLT 0.6250-11x3.25x3.25-N		2												c:\solidworks data\browser\ansi inch\bolts and screws\hex head\	hex bolt_ai	HBOLT 0.6250-11x3.25x3.25-N											
1.2.15	    Preferred Narrow FW 0.625		2												c:\solidworks data\browser\ansi inch\washers\plain washers (type a)\	flat washer type a narrow_ai	Preferred Narrow FW 0.625											
1.2.16	    HNUT 0.6250-11-D-N		2												c:\solidworks data\browser\ansi inch\nuts\hex nuts\	hex nut_ai	HNUT 0.6250-11-D-N											
1.2.17	    Preferred Narrow FW 0.375		35												c:\solidworks data\browser\ansi inch\washers\plain washers (type a)\	flat washer type a narrow_ai	Preferred Narrow FW 0.375											
1.2.18	    HBOLT 0.3750-16x3x1-N		2												c:\solidworks data\browser\ansi inch\bolts and screws\hex head\	hex bolt_ai	HBOLT 0.3750-16x3x1-N											
1.2.19	    HNUT 0.3750-16-D-N		35												c:\solidworks data\browser\ansi inch\nuts\hex nuts\	hex nut_ai	HNUT 0.3750-16-D-N											
1.2.20	    HBOLT 0.3750-16x1.375x1-N		4												c:\solidworks data\browser\ansi inch\bolts and screws\hex head\	hex bolt_ai	HBOLT 0.3750-16x1.375x1-N											
1.2.21	    RHBOLT 0.375-16x1x1-N		10												c:\solidworks data\browser\ansi inch\bolts and screws\round head bolts\	round head bolt_ai	RHBOLT 0.375-16x1x1-N											
1.2.22	    HBOLT 0.3750-16x0.875x0.875-N		19												c:\solidworks data\browser\ansi inch\bolts and screws\hex head\	hex bolt_ai	HBOLT 0.3750-16x0.875x0.875-N											
1.2.23	    POSITION LIGHTS		2												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	POSITION LIGHTS	AMBER-RED											
1.2.24	    rear ligths		2												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	rear ligths	Default											
1.2.25	    HITCH		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	HITCH	Default											
1.3	  FRONT CABINET BASE		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	FRONT CABINET BASE	Default<As Machined>											
1.3.1	    		1	Sheet	Plain Carbon Steel												Default<As Machined>		6450.99							3		
1.3.2	    		2		Pine												Default<As Machined>											
1.3.3	    		2		Pine												Default<As Machined>											
1.3.4	    		1		Pine												Default<As Machined>											
1.3.5	    		4	PINE - 75x35	Pine												Default<As Machined>											
1.3.6	    		2	PINE - 75x35	Pine												Default<As Machined>											
1.3.7	    		2	PINE - 75x35	Pine												Default<As Machined>											
1.3.8	    		1		Pine												Default<As Machined>											
1.3.9	    		2		Pine												Default<As Machined>											
1.4	  HATCH ASSEMBLY		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	HATCH ASSEMBLY	Default											
1.4.1	    HATCH TIMBER		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	HATCH TIMBER	Default<As Machined>											
1.4.1.1	      		1		Pine												Default<As Machined>											
1.4.1.2	      		2		Pine												Default<As Machined>											
1.4.1.3	      		1		5052-H32												Default<As Machined>											
1.4.1.4	      		2		5052-H32												Default<As Machined>											
1.4.1.5	      		1	25 x 25 x 1.60 x 1.60 T Bar	6060												Default<As Machined>		0.0									
1.4.1.6	      		2		Pine												Default<As Machined>											
1.4.1.7	      		5		Pine												Default<As Machined>											
1.4.1.8	      		1		Pine												Default<As Machined>											
1.4.1.9	      		2		Pine												Default<As Machined>											
1.4.1.10	      		20		Pine												Default<As Machined>											
1.4.1.11	      		10		Pine												Default<As Machined>											
1.4.1.12	      		1	25x25x1.60 EA	6060												Default<As Machined>		0.0									
